fault,episodes,episodes_detected,episode_recall,median_detection_latency_ms,p95_detection_latency_ms,median_recovery_latency_ms,sample_tp,sample_fp,sample_tn,sample_fn,precision,recall,f1,false_positive_rate
RANGE,5,5,1.0,0,0.0,0,25,0,3560,0,1.0,1.0,1.0,0.0
STUCK,5,5,1.0,18000,18000.0,0,113,0,3560,87,1.0,0.565,0.7220447284345047,0.0
SPIKE,5,5,1.0,0,0.0,1000,5,25,3535,0,0.16666666666666666,1.0,0.2857142857142857,0.007022471910112359
DRIFT,5,5,1.0,30000,30000.0,0,302,0,3560,148,1.0,0.6711111111111111,0.803191489361702,0.0
MISSING,5,5,1.0,2000,2000.0,0,20,0,3560,10,1.0,0.6666666666666666,0.8,0.0
